iter	Passed	Remaining
625	1218	728
626	1219	725
627	1221	723
628	1223	721
629	1225	719
630	1226	717
631	1227	714
632	1229	712
633	1230	710
634	1231	708
635	1233	705
636	1234	703
637	1235	701
638	1236	698
639	1238	696
640	1240	694
641	1241	692
642	1243	690
643	1244	688
644	1245	685
645	1247	683
646	1248	681
647	1249	678
648	1251	676
649	1252	674
650	1254	672
651	1256	670
652	1257	668
653	1259	666
654	1260	663
655	1261	661
656	1263	659
657	1264	657
658	1265	654
659	1267	652
660	1268	650
661	1270	648
662	1271	646
663	1273	644
664	1274	642
665	1276	640
666	1277	637
667	1279	635
668	1280	633
669	1282	631
670	1284	629
671	1286	628
672	1288	626
673	1290	624
674	1292	622
675	1293	620
676	1295	618
677	1296	615
678	1298	614
679	1300	611
680	1302	609
681	1303	607
682	1305	605
683	1306	603
684	1308	601
685	1309	599
686	1311	597
687	1313	595
688	1315	593
689	1316	591
690	1318	589
691	1319	587
692	1321	585
693	1322	583
694	1324	581
695	1325	579
696	1327	576
697	1328	574
698	1330	572
699	1332	570
700	1333	568
701	1335	566
702	1336	564
703	1338	562
704	1339	560
705	1341	558
706	1342	556
707	1344	554
708	1346	552
709	1348	550
710	1349	548
711	1351	546
712	1352	544
713	1354	542
714	1355	540
715	1358	538
716	1360	536
717	1362	534
718	1363	533
719	1365	530
720	1366	528
721	1368	526
722	1369	524
723	1371	522
724	1372	520
725	1374	518
726	1376	516
727	1377	514
728	1379	512
729	1380	510
730	1382	508
731	1383	506
732	1385	504
733	1386	502
734	1389	500
735	1390	498
736	1392	496
737	1395	495
738	1396	493
739	1397	491
740	1399	489
741	1400	486
742	1401	484
743	1403	482
744	1405	481
745	1407	479
746	1408	477
747	1410	475
748	1411	473
749	1412	470
750	1414	468
751	1415	466
752	1417	464
753	1418	462
754	1420	460
755	1422	459
756	1423	457
757	1425	455
758	1426	453
759	1428	451
760	1429	449
761	1431	446
762	1432	444
763	1433	442
764	1435	441
765	1437	439
766	1439	437
767	1440	435
768	1442	433
769	1443	431
770	1445	429
771	1446	427
772	1448	425
773	1449	423
774	1451	421
775	1453	419
776	1454	417
777	1456	415
778	1457	413
779	1459	411
780	1460	409
781	1462	407
782	1464	405
783	1466	404
784	1468	402
785	1469	400
786	1471	398
787	1473	396
788	1474	394
789	1475	392
790	1477	390
791	1478	388
792	1480	386
793	1482	384
794	1484	382
795	1485	380
796	1487	378
797	1488	376
798	1490	374
799	1491	372
800	1493	370
801	1494	369
802	1496	367
803	1498	365
804	1500	363
805	1501	361
806	1503	359
807	1504	357
808	1505	355
809	1507	353
810	1508	351
811	1510	349
812	1512	347
813	1514	345
814	1515	343
815	1516	342
816	1518	340
817	1519	338
818	1521	336
819	1522	334
820	1523	332
821	1525	330
822	1527	328
823	1529	326
824	1530	324
825	1532	322
826	1533	320
827	1535	318
828	1536	316
829	1537	314
830	1538	312
831	1540	310
832	1542	309
833	1544	307
834	1545	305
835	1547	303
836	1548	301
837	1550	299
838	1551	297
839	1553	295
840	1554	293
841	1556	291
842	1558	290
843	1560	288
844	1561	286
845	1563	284
846	1564	282
847	1565	280
848	1566	278
849	1568	276
850	1569	274
851	1571	272
852	1573	271
853	1574	269
854	1576	267
855	1577	265
856	1578	263
857	1580	261
858	1581	259
859	1582	257
860	1584	255
861	1585	253
862	1588	252
863	1590	250
864	1592	248
865	1593	246
866	1595	244
867	1596	242
868	1597	240
869	1599	238
870	1600	237
871	1601	235
872	1603	233
873	1605	231
874	1606	229
875	1608	227
876	1609	225
877	1610	223
878	1612	221
879	1613	220
880	1615	218
881	1616	216
882	1617	214
883	1619	212
884	1621	210
885	1622	208
886	1623	206
887	1625	204
888	1626	203
889	1627	201
890	1628	199
891	1630	197
892	1631	195
893	1634	193
894	1635	191
895	1637	190
896	1638	188
897	1639	186
898	1641	184
899	1642	182
900	1644	180
901	1645	178
902	1646	176
903	1648	175
904	1650	173
905	1652	171
906	1653	169
907	1654	167
908	1655	165
909	1657	163
910	1658	162
